priority,need,fit,name,corp_code,stock_code,listed,sector,industry,type,rev,cagr3,ebitda,ebitda_m,net_debt,nd_ebitda,debt_ratio,curr_ratio,cash,draw_3y,dep_ratio,nd_per_rev,gap_12m,runway_m,status,last_funding_date,last_funding_nm,drivers
86,99.1,55,이누스(주),01494561,,false,제조업,비금속 광물제품,DISTRESS(구조조정형),2304.5,0.211,-369.4,-0.16,1278.5,,3.951,0.72,80.6,1037.4,3,1.03,420,2,DISTRESS_EVENT,,,"EBITDA 적자 -369억 / 부채비율 395% (3년 337%p↑) / EBITDA마진 1%→-16% / 3년 순부채 +1,037억 vs EBITDA합 -491억 / 매출 1원 성장에 순부채 1.03원 / 유동비율 72% / 현금/매출 3% / 현금 2년 연속 감소 / 영업적자 3/3년 / 런웨이 2개월"
84.8,75.3,94.6,(주)스튜디오프리즘,01394261,,false,정보통신,영상·오디오 제작·배급,WC_BURN(운전자본형),1806.7,0.359,184.4,0.102,1415.9,7.7,3.588,0.837,175.8,1604.3,3.819,1.476,515,,UNLISTED_BLIND,,,"순부채/EBITDA 7.7x / 부채비율 359% (3년 302%p↑) / EBITDA마진 15%→10% / 3년 순부채 +1,604억 vs EBITDA합 420억 / 매출 1원 성장에 순부채 1.48원 / 유동비율 84%"
84.5,84,77.8,(주)디에프에스,01634521,,false,제조업,의료·정밀·광학기기,WC_BURN(운전자본형),514.6,0.362,36.5,0.071,345.1,9.4,10.753,0.672,10.4,265.3,1.887,0.854,117,,UNLISTED_BLIND,,,순부채/EBITDA 9.4x / 부채비율 1075% (3년 793%p↑) / EBITDA마진 12%→7% / 3년 순부채 +265억 vs EBITDA합 141억 / 매출 1원 성장에 순부채 0.85원 / 유동비율 67% / 현금/매출 2% / 현금 2년 연속 감소
84.2,71.2,100,한화컨버전스(주),00880266,,false,도소매,도매·상품중개,WC_BURN(운전자본형),1886.4,0.24,238.4,0.126,1163.1,4.9,3.387,0.7,86.2,1292.9,1.774,1.443,426,,UNLISTED_BLIND,,,"순부채/EBITDA 4.9x / 부채비율 339% (3년 208%p↑) / EBITDA마진 22%→13% / 3년 순부채 +1,293억 vs EBITDA합 729억 / 매출 1원 성장에 순부채 1.44원 / 유동비율 70% / 현금/매출 5%"
83.9,77.5,87.5,그린에코사이클(주),01364233,,false,전기·가스·환경,폐기물 처리·자원재생,WC_BURN(운전자본형),545.4,0.396,102.7,0.188,762.2,7.4,4.558,0.42,1.1,444.9,4.235,1.289,150,,UNLISTED_BLIND,,,순부채/EBITDA 7.4x / 부채비율 456% (3년 290%p↑) / 3년 순부채 +445억 vs EBITDA합 105억 / 매출 1원 성장에 순부채 1.29원 / 유동비율 42% / 현금/매출 0% / 현금 2년 연속 감소 / 영업적자 2/3년
83.6,70.2,100,(주)휴맥스모빌리티,01450460,,false,사업지원·임대,임대업(부동산 제외),WC_BURN(운전자본형),2411.3,0.277,621.9,0.258,4041.4,6.5,3.739,0.404,263.9,2130.3,1.354,1.698,540,,UNLISTED_BLIND,,,"순부채/EBITDA 6.5x / 부채비율 374% (3년 280%p↑) / EBITDA마진 28%→26% / 3년 순부채 +2,130억 vs EBITDA합 1,573억 / 매출 1원 성장에 순부채 1.70원 / 유동비율 40% / 영업적자 3/3년"
82.6,84.7,70,(주)하이랜드이노베이션,01543025,,false,제조업,식료품 제조,WC_BURN(운전자본형),2009.3,0.233,17.3,0.009,985.6,56.8,3.748,0.467,76.4,750.4,5.99,0.801,252,25,UNLISTED_BLIND,,,순부채/EBITDA 56.8x / 부채비율 375% (3년 247%p↑) / EBITDA마진 6%→1% / 3년 순부채 +750억 vs EBITDA합 125억 / 매출 1원 성장에 순부채 0.80원 / 유동비율 47% / 현금/매출 4%
82,80.6,75.4,(주)시앤유,01470932,,false,도소매,도매·상품중개,WC_BURN(운전자본형),591.7,0.19,37.2,0.063,280,7.5,7.78,0.89,8.4,211.7,1.726,0.881,81,,UNLISTED_BLIND,,,순부채/EBITDA 7.5x / 부채비율 778% (3년 481%p↑) / EBITDA마진 8%→6% / 3년 순부채 +212억 vs EBITDA합 123억 / 매출 1원 성장에 순부채 0.88원 / 유동비율 89% / 현금/매출 1% / 현금 2년 연속 감소
82,68.3,98.1,에스케이멀티유틸리티(주),01603114,,false,전기·가스·환경,전기·가스·증기 공급,WC_BURN(운전자본형),1265.4,1.257,143.8,0.114,5124.8,35.6,3.271,2.703,2.6,5582.7,12.692,4.832,2505,0,IN_MOTION,2025-06-30,[기재정정]유상증자결정,"순부채/EBITDA 35.6x / 부채비율 327% (3년 314%p↑) / 3년 순부채 +5,583억 vs EBITDA합 440억 / 매출 1원 성장에 순부채 4.83원 / 현금/매출 0% / 현금 2년 연속 감소 / 런웨이 0개월"
81.9,89.5,59,동원테크놀러지(주),00243164,,false,제조업,고무·플라스틱제품,DISTRESS(구조조정형),1079.6,0.109,-47.1,-0.044,313.1,,5.876,0.536,0.2,71.1,8.602,0.247,41,0,UNLISTED_BLIND,,,EBITDA 적자 -47억 / 부채비율 588% (3년 233%p↑) / EBITDA마진 2%→-4% / 3년 순부채 +71억 vs EBITDA합 8억 / 유동비율 54% / 현금/매출 0% / 현금 2년 연속 감소 / 영업적자 2/3년 / 런웨이 0개월
