priority,need,fit,name,corp_code,stock_code,listed,sector,industry,type,rev,cagr3,ebitda,ebitda_m,net_debt,nd_ebitda,debt_ratio,curr_ratio,cash,draw_3y,dep_ratio,nd_per_rev,gap_12m,gap_3y,gap_basis,fs_year,fs_source,fs_ocf,fs_capex,fs_dividend,fs_lease_repay,fs_fcf,fs_gross_debt,fs_borrowings_st,fs_d_net_debt_measured,fs_uses_direct,fs_residual,fs_residual_pct,fs_ebitda_source,angle_primary,angles_detail,min_cash_pct,min_cash_basis,runway_m,status,last_funding_date,last_funding_nm,drivers
87,71.2,100,한화컨버전스(주),00880266,,false,도소매,도매·상품중개,WC_BURN(운전자본형),1886.4,0.24,238.4,0.126,1163.1,4.9,3.387,0.7,86.2,1292.9,1.774,1.443,418,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 24% 인데 EBITDA마진 9.4%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.046,company_history,,UNLISTED_BLIND,,,"순부채/EBITDA 4.9x / 부채비율 339% (3년 208%p↑) / EBITDA마진 22%→13% / 3년 순부채 +1,293억 vs EBITDA합 729억 / 매출 1원 성장에 순부채 1.44원 / 유동비율 70% / 현금/매출 5%"
85.9,78,83.1,(주)화인인터내셔날,00364014,,false,도소매,도매·상품중개,WC_BURN(운전자본형),515.6,0.257,45.7,0.089,578.8,12.7,34.83,0.195,10.3,209.3,2.918,1.676,117,330,measured_cashbridge,2025,audit,-66.4,0.7,,,-67.1,589.1,497.4,50.5,-15.1,-0.8,0.0015,op+dep,부실·리파이낸싱,부실·리파이낸싱(positive): 레버리지 부담은 크나 매출 회복 + 마진 반등 — 시황 저점 진입 가능성 | 성장자금형(positive): 매출 CAGR 26% + 마진 유지 · capex/매출 0.1%,0.008,company_history,2,DISTRESS_EVENT,,,순부채/EBITDA 12.7x / 부채비율 3483% (3년 2869%p↑) / 3년 순부채 +209억 vs EBITDA합 72억 / 매출 1원 성장에 순부채 1.68원 / 유동비율 19% / 현금/매출 2% / 현금 2년 연속 감소 / 런웨이 2개월
85.3,88.5,61.8,제일폴리캠(주),00934725,,false,제조업,화학물질·화학제품,WC_BURN(운전자본형),562.8,0.135,23.4,0.042,421.9,18,8.834,0.29,9.8,354.2,14.514,1.809,37,92,measured_cashbridge,2025,audit,-1.9,5.5,,,-7.4,431.7,198.5,2.2,3.8,1.4,0.0025,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 3/3년) | 성장자금형(positive): 매출 CAGR 14% + 마진 유지 · capex/매출 1.0%,0.02,company_history,62,UNLISTED_BLIND,,,순부채/EBITDA 18.0x / 부채비율 883% (3년 489%p↑) / 3년 순부채 +354억 vs EBITDA합 24억 / 매출 1원 성장에 순부채 1.81원 / 유동비율 29% / 현금/매출 2% / 현금 2년 연속 감소 / 영업적자 3/3년
85.2,88,62.5,프레시플러스(주),00968023,,false,제조업,식료품 제조,DISTRESS(구조조정형),797.9,0.223,-28.6,-0.036,448.5,,2.064,0.336,24.8,382.4,2.559,1,128,380,measured_cashbridge,2025,audit,19.2,99.9,,,-84.4,473.2,470.4,102.2,67.5,53.9,0.0675,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 22% 인데 EBITDA마진 12.3%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요 | 이벤트(neutral): 분할·카브아웃 — 승계·증여·분쟁 여부는 주주 레벨 사건이라 재무로 안 보임. 대주주 연령·지분율 개별 확인 필요,0.03,company_history,,UNLISTED_BLIND,,,EBITDA 적자 -29억 / 부채비율 206% (3년 134%p↑) / EBITDA마진 9%→-4% / 3년 순부채 +382억 vs EBITDA합 149억 / 매출 1원 성장에 순부채 1.00원 / 유동비율 34% / 현금/매출 3% / 현금 2년 연속 감소
84.7,97.2,43.7,(주)아이언오토,01352511,,false,도소매,자동차·부품 판매,DISTRESS(구조조정형),637.6,0.09,-1.4,-0.002,355.6,,14.318,0.252,1.8,78.3,3,0.952,134,364,measured_cashbridge,2025,audit,-38.2,51,,,-89.2,357.4,327.4,110.8,72.6,0,0,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년) | 성장자금형(negative): 매출 CAGR 9% 인데 EBITDA마진 8.0%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.013,company_history,1,UNLISTED_BLIND,,,EBITDA 적자 -1억 / 부채비율 1432% (3년 3546%p↑) / EBITDA마진 0%→-0% / 3년 순부채 +78억 vs EBITDA합 -22억 / 매출 1원 성장에 순부채 0.95원 / 유동비율 25% / 현금/매출 0% / 현금 2년 연속 감소 / 영업적자 2/3년 / 런웨이 1개월
84.3,84.5,65,일진건설산업(주),01465408,,false,건설업,종합 건설,DISTRESS(구조조정형),2463.6,0.18,-74.2,-0.03,224.7,,19.701,0.942,0.1,220,178.861,0.228,91,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 18% 인데 EBITDA마진 5.3%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.025,company_history,0,DISTRESS_EVENT,,,EBITDA 적자 -74억 / 부채비율 1970% (3년 1870%p↑) / EBITDA마진 2%→-3% / 3년 순부채 +220억 vs EBITDA합 1억 / 유동비율 94% / 현금/매출 0% / 현금 2년 연속 감소 / 런웨이 0개월
84.1,89.7,55,이누스(주),01494561,,false,제조업,비금속 광물제품,DISTRESS(구조조정형),1571.6,0.211,-184.1,-0.117,1431.5,,1.628,0.792,54.8,1037.4,3,1.03,120,354,measured_cashbridge,2025,audit,12.6,9.7,,,2.9,1486.3,1236.3,-13.1,4.7,-5.3,0.0033,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 3/3년) | 성장자금형(negative): 매출 CAGR 21% 인데 EBITDA마진 16.9%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.035,company_history,,DISTRESS_EVENT,,,"EBITDA 적자 -184억 / EBITDA마진 1%→-12% / 3년 순부채 +1,037억 vs EBITDA합 -491억 / 매출 1원 성장에 순부채 1.03원 / 유동비율 79% / 현금/매출 3% / 현금 2년 연속 감소 / 영업적자 3/3년"
83.9,78.8,73.6,(주)스튜디오프리즘,01394261,,false,정보통신,영상·오디오 제작·배급,WC_BURN(운전자본형),1576.7,0.247,50.3,0.032,1448.7,28.8,3.499,0.248,201.3,1604.3,3.819,1.476,54,454,measured_cashbridge,2025,audit,-35,0,,,-35.1,1650,1650,33.3,-9.6,7.9,0.005,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 25% 인데 EBITDA마진 10.3%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.035,company_history,69,UNLISTED_BLIND,,,"순부채/EBITDA 28.8x / 부채비율 350% (3년 300%p↑) / EBITDA마진 14%→3% / 3년 순부채 +1,604억 vs EBITDA합 420억 / 매출 1원 성장에 순부채 1.48원 / 유동비율 25%"
83.7,97.8,38.6,(주)비콘아이앤씨,01310542,,false,제조업,전자부품·컴퓨터·통신장비,DISTRESS(구조조정형),602.9,0.055,-54.3,-0.09,113.8,,5.214,0.68,1.2,102.6,3,1.139,38,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년) | 성장자금형(negative): 매출 CAGR 6% 인데 EBITDA마진 10.2%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.02,company_history,0,DISTRESS_EVENT,,,EBITDA 적자 -54억 / 부채비율 521% (3년 465%p↑) / EBITDA마진 1%→-9% / 3년 순부채 +103억 vs EBITDA합 -67억 / 매출 1원 성장에 순부채 1.14원 / 유동비율 68% / 현금/매출 0% / 현금 2년 연속 감소 / 영업적자 2/3년 / 런웨이 0개월
83.5,67.5,92.5,화성광주고속도로(주),01205204,,false,건설업,종합 건설,WC_BURN(운전자본형),674,0.244,304.2,0.451,5792.3,19,20.242,0.52,240.6,803.5,0.715,1.344,0,0,measured_cashbridge,2025,audit,155.5,5,,,150.5,6032.9,176.8,-150.6,5.3,-0.4,0.0006,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 24% 인데 EBITDA마진 34.2%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.025,company_history,,UNLISTED_BLIND,,,"순부채/EBITDA 19.0x / 부채비율 2024% (3년 1287%p↑) / EBITDA마진 79%→45% / 3년 순부채 +803억 vs EBITDA합 1,124억 / 매출 1원 성장에 순부채 1.34원 / 유동비율 52% / 현금 2년 연속 감소"
