name,corp_code,panel_basis,year,basis,via,obs_rev,mf_rev,err_rev,obs_op,mf_op,err_op,obs_ni,mf_ni,err_ni,obs_net_debt,mf_net_debt,err_net_debt,obs_cash,mf_cash,err_cash
화성광주고속도로(주),01205204,OFS_only,2023,OFS,audit,462.4,462.4196,0,116.6,116.6388,0.0003,,,,,,,,,
화성광주고속도로(주),01205204,OFS_only,2024,OFS,audit,597.9,597.8864,0,241.1,241.0619,0.0002,190.7,-190.7385,1.9998,5942.9,5942.9394,0,0.2,0.2485,0.1952
화성광주고속도로(주),01205204,OFS_only,2025,OFS,audit,674,,,298.8,,,89.5,,,5792.3,,,0.2,,
제일폴리캠(주),00934725,OFS_only,2023,OFS,audit,396.9,396.9224,0.0001,-40.2,-40.2113,0.0003,,,,,,,,,
제일폴리캠(주),00934725,OFS_only,2024,OFS,audit,544.5,544.4734,0,-6.6,-6.621,0.0032,-24.3,-24.311,0.0005,419.7,462.7173,0.093,17.5,17.5327,0.0019
제일폴리캠(주),00934725,OFS_only,2025,OFS,audit,562.8,,,-7.1,,,-22.4,,,421.9,,,9.8,,
(주)화인인터내셔날,00364014,OFS_only,2023,OFS,audit,257.1,257.0672,0.0001,10.8,10.816,0.0015,,,,,,,,,
(주)화인인터내셔날,00364014,OFS_only,2024,OFS,audit,333,333.024,0.0001,40.8,40.8083,0.0002,37.8,-37.8009,2,528.3,528.3391,0.0001,1.8,1.7885,0.0064
(주)화인인터내셔날,00364014,OFS_only,2025,OFS,audit,515.6,,,40.7,,,23.1,,,578.8,,,0.8,,
프레시플러스(주),00968023,OFS_only,2023,OFS,audit,699.2,699.2267,0,8,8.0427,0.0053,,,,,,,,,
프레시플러스(주),00968023,OFS_only,2024,OFS,audit,760.2,760.1992,0,7.1,7.0509,0.007,24.1,24.1012,0,346.3,388.1031,0.1077,46.5,46.4619,0.0008
프레시플러스(주),00968023,OFS_only,2025,OFS,audit,797.9,,,-32,,,-22.2,,,448.5,,,23.9,,
(주)스튜디오프리즘,01394261,OFS_only,2023,OFS,audit,726.6,726.5972,0,95.3,95.2549,0.0005,,,,,,,,,
(주)스튜디오프리즘,01394261,OFS_only,2024,OFS,audit,1806.7,1806.6825,0,180.5,180.486,0.0001,59.2,59.1681,0.0005,1415.3,1415.8656,0.0004,175.8,175.7904,0.0001
(주)스튜디오프리즘,01394261,OFS_only,2025,OFS,audit,1576.7,,,50.1,,,11.1,,,1448.7,,,200.4,,
영림산업(주),00816322,,2023,OFS,audit,1136.4,1136.4131,0,106.7,106.6652,0.0003,,,,,,,,,
영림산업(주),00816322,,2024,OFS,audit,1391.6,0,,81.9,0,,26,0,,1083.9,0,,42.1,0,
영림산업(주),00816322,,2025,OFS,audit,1628.5,,,105.5,,,-16.7,,,911.7,,,90,,
(주)초록마을,00306463,,2023,OFS,audit,1787.9,1787.9372,0,-86.1,-86.0686,0.0004,,,,,,,,,
(주)초록마을,00306463,,2024,OFS,audit,1630,0,,-72.3,0,,,0,,57.4,0,,0.2,0,
(주)비콘아이앤씨,01310542,,2023,CFS,audit,602.9,602.9242,0,64.9,-62.7957,2.0335,,,,,,,,,
(주)비콘아이앤씨,01310542,,2023,OFS,audit,602.9,602.9242,0,62.8,-62.7957,2.0001,,,,,,,,,
(주)비콘아이앤씨,01310542,,2024,CFS,audit,582.8,0,,121.1,0,,146.3,0,,475.3,0,,6.8,0,
(주)비콘아이앤씨,01310542,,2024,OFS,audit,562.2,0,,83.1,0,,121.8,0,,110.5,0,,1.1,0,
(주)시앤유,01470932,OFS_only,2023,OFS,audit,699.6,699.5711,0,55,54.9592,0.0007,,,,,,,,,
(주)시앤유,01470932,OFS_only,2024,OFS,audit,591.7,591.6951,0,36.3,36.3455,0.0013,17.2,17.1853,0.0009,280,280.0214,0.0001,8.4,8.3595,0.0048
(주)시앤유,01470932,OFS_only,2025,OFS,audit,503.9,,,25.7,,,7.3,,,330.8,,,2.1,,
